** LOG START zapdos.freedm:30000 2 2015-Mar-07 06:58:10.800961
** LOG STOP zapdos.freedm:30000 617 2015-Mar-07 09:27:59.847963
## STAGE: [5, 5, 5, 5, 5, 5]
** LOG START zapdos.freedm:30000 2 2015-Mar-07 09:28:19.001681
** LOG STOP zapdos.freedm:30000 617 2015-Mar-07 11:58:11.671746
## STAGE: [10, 10, 10, 10, 10, 10]
** LOG START zapdos.freedm:30000 2 2015-Mar-07 11:58:27.201788
** LOG STOP zapdos.freedm:30000 618 2015-Mar-07 14:28:23.344044
## STAGE: [15, 15, 15, 15, 15, 15]
** LOG START zapdos.freedm:30000 1 2015-Mar-07 14:28:37.352755
** LOG STOP zapdos.freedm:30000 617 2015-Mar-07 16:58:35.044981
## STAGE: [20, 20, 20, 20, 20, 20]
** LOG START zapdos.freedm:30000 2 2015-Mar-07 16:58:58.200878
** LOG STOP zapdos.freedm:30000 618 2015-Mar-07 19:28:51.303252
## STAGE: [25, 25, 25, 25, 25, 25]
** LOG START zapdos.freedm:30000 1 2015-Mar-07 19:29:05.255067
** LOG STOP zapdos.freedm:30000 617 2015-Mar-07 21:59:02.947241
## STAGE: [30, 30, 30, 30, 30, 30]
** LOG START zapdos.freedm:30000 2 2015-Mar-07 21:59:26.401588
** LOG STOP zapdos.freedm:30000 618 2015-Mar-08 00:29:14.594564
## STAGE: [35, 35, 35, 35, 35, 35]
** LOG START zapdos.freedm:30000 2 2015-Mar-08 00:29:34.601551
8	ARRIVE:PEERLIST
10	LEAVE:HARD_RECOVERY
22	ARRIVE:PEERLIST
23	LEAVE:HARD_RECOVERY
** LOG STOP zapdos.freedm:30000 617 2015-Mar-08 03:59:26.307533
## STAGE: [40, 40, 40, 40, 40, 40]
** LOG START zapdos.freedm:30000 2 2015-Mar-08 03:59:42.800786
269	ARRIVE:PEERLIST
270	LEAVE:HARD_RECOVERY
333	ARRIVE:PEERLIST
334	LEAVE:HARD_RECOVERY
536	ARRIVE:PEERLIST
537	LEAVE:HARD_RECOVERY
** LOG STOP zapdos.freedm:30000 618 2015-Mar-08 06:29:38.078792
## STAGE: [45, 45, 45, 45, 45, 45]
** LOG START zapdos.freedm:30000 1 2015-Mar-08 06:29:51.748384
472	ARRIVE:PEERLIST
473	LEAVE:HARD_RECOVERY
** LOG STOP zapdos.freedm:30000 617 2015-Mar-08 08:59:49.440582
## STAGE: [50, 50, 50, 50, 50, 50]
** LOG START zapdos.freedm:30000 2 2015-Mar-08 09:00:13.801033
114	ARRIVE:PEERLIST
115	LEAVE:HARD_RECOVERY
160	ARRIVE:PEERLIST
161	LEAVE:HARD_RECOVERY
174	ARRIVE:PEERLIST
175	LEAVE:HARD_RECOVERY
260	ARRIVE:PEERLIST
261	LEAVE:HARD_RECOVERY
** LOG STOP zapdos.freedm:30000 617 2015-Mar-08 11:30:01.361914
## STAGE: [55, 55, 55, 55, 55, 55]
** LOG START zapdos.freedm:30000 2 2015-Mar-08 11:30:22.001493
35	ARRIVE:PEERLIST
36	LEAVE:HARD_RECOVERY
157	ARRIVE:PEERLIST
159	LEAVE:HARD_RECOVERY
** LOG STOP zapdos.freedm:30000 617 2015-Mar-08 14:00:12.889458
## STAGE: [60, 60, 60, 60, 60, 60]
** LOG START zapdos.freedm:30000 2 2015-Mar-08 14:00:30.201277
58	ARRIVE:PEERLIST
59	LEAVE:HARD_RECOVERY
