0.05	33.33400167	25.00075188	20.000802	16.66750208	10	4.000000004	2.000000004	1.000000004	0.500000004
0.1	33.3340074	25.00075833	20.00080888	16.66750925	10.00000091	4.00000097	2.00000099	1.000001	0.500001005
0.15	33.33403282	25.00078692	20.00083938	16.66754102	10.0000236	4.00002517	2.000025694	1.000025957	0.500026088
0.2	33.33420554	25.00098123	20.00104665	16.66775692	10.00024	4.000255999	2.000261333	1.000263999	0.500265333
0.25	33.33512945	25.00202062	20.00215532	16.66891177	10.00146482	4.001562475	2.001595026	1.001611302	0.50161944
0.3	33.33887201	25.00623096	20.00664629	16.67358982	10.00648843	4.006920996	2.007065183	1.007137277	0.507173323
0.35	33.35119635	25.02009567	20.02143515	16.6889947	10.02309023	4.024629581	2.025142697	1.025399256	0.525527535
0.4	33.38609727	25.05935873	20.06331524	16.73261927	10.0701624	4.074839896	2.076399061	1.077178643	0.577568434
0.45	33.47443356	25.15873578	20.16931608	16.8430354	10.1893639	4.201988161	2.206196247	1.208300291	0.709352312
0.5	33.67963161	25.38958045	20.41554707	17.09952259	10.46632124	4.497409326	2.507772021	1.512953368	1.015544041
0.55	34.12508606	25.89070951	20.95007717	17.65631703	11.06762126	5.138796009	3.162520926	2.174383384	1.680314614
0.6	35.03915481	26.91902143	22.04692737	18.79885342	12.30155791	6.454995108	4.50614084	3.531713706	3.044500138
0.65	36.82040482	28.92289762	24.18436569	21.02532324	14.70622001	9.019968012	7.124550679	6.176842012	5.702987679
0.7	40.10467529	32.6176514	28.12539103	25.13051851	19.14003187	13.74936732	11.95247914	11.05403505	10.60481301
0.75	45.7486523	38.9670618	34.89804992	32.18534208	26.75957199	21.87687679	20.24931172	19.43552919	19.02863792
0.8	54.52641947	48.84201172	45.43132624	43.15752285	38.60987287	34.51719772	33.15297268	32.47086015	32.12980389
0.85	66.36336547	62.15861416	59.63576254	57.95387066	54.59012681	51.56280193	50.55369363	50.04913949	49.79686241
0.9	79.58537704	77.03347053	75.50234288	74.48159897	72.44012298	70.60279785	69.99035614	69.68413528	69.53102485
0.95	91.45772832	90.38993025	89.749257	89.32214245	88.46791381	87.69910806	87.44283948	87.31470519	87.25063804
