** LOG START raichu.freedm:30000 1 2015-Jan-15 15:41:51.865495
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 16:11:49.537763
## STAGE: [5, 5, 5]
** LOG START raichu.freedm:30000 2 2015-Jan-15 16:12:15.009673
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 16:42:02.318159
## STAGE: [10, 10, 10]
** LOG START raichu.freedm:30000 2 2015-Jan-15 16:42:25.407068
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 17:12:14.713883
## STAGE: [15, 15, 15]
** LOG START raichu.freedm:30000 2 2015-Jan-15 17:12:35.821742
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 17:42:27.652095
## STAGE: [20, 20, 20]
** LOG START raichu.freedm:30000 2 2015-Jan-15 17:42:46.207811
** LOG STOP raichu.freedm:30000 125 2015-Jan-15 18:12:40.123292
## STAGE: [25, 25, 25]
** LOG START raichu.freedm:30000 1 2015-Jan-15 18:12:55.046098
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 18:42:52.708344
## STAGE: [30, 30, 30]
** LOG START raichu.freedm:30000 2 2015-Jan-15 18:43:18.812282
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 19:13:05.721638
## STAGE: [35, 35, 35]
** LOG START raichu.freedm:30000 2 2015-Jan-15 19:13:29.206087
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 19:43:18.138142
## STAGE: [40, 40, 40]
** LOG START raichu.freedm:30000 2 2015-Jan-15 19:43:39.605321
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 20:13:30.765641
## STAGE: [45, 45, 45]
** LOG START raichu.freedm:30000 2 2015-Jan-15 20:13:50.008025
64	ARRIVE:PEERLIST
66	LEAVE:HARD_RECOVERY
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 20:43:43.555098
## STAGE: [50, 50, 50]
** LOG START raichu.freedm:30000 2 2015-Jan-15 20:44:00.410253
78	ARRIVE:PEERLIST
79	LEAVE:HARD_RECOVERY
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 21:13:56.127488
## STAGE: [55, 55, 55]
** LOG START raichu.freedm:30000 1 2015-Jan-15 21:14:11.262103
39	ARRIVE:PEERLIST
40	LEAVE:HARD_RECOVERY
66	ARRIVE:PEERLIST
67	LEAVE:HARD_RECOVERY
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 21:44:08.942252
## STAGE: [60, 60, 60]
** LOG START raichu.freedm:30000 2 2015-Jan-15 21:44:35.807155
12	ARRIVE:PEERLIST
13	LEAVE:HARD_RECOVERY
13	ARRIVE:PEERLIST
14	LEAVE:HARD_RECOVERY
17	ARRIVE:PEERLIST
19	LEAVE:HARD_RECOVERY
96	ARRIVE:PEERLIST
97	LEAVE:HARD_RECOVERY
116	ARRIVE:PEERLIST
118	LEAVE:HARD_RECOVERY
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 22:14:21.394678
## STAGE: [65, 65, 65]
** LOG START raichu.freedm:30000 2 2015-Jan-15 22:14:46.210511
14	ARRIVE:PEERLIST
15	LEAVE:HARD_RECOVERY
19	ARRIVE:PEERLIST
22	LEAVE:HARD_RECOVERY
48	ARRIVE:PEERLIST
50	LEAVE:HARD_RECOVERY
54	ARRIVE:PEERLIST
56	LEAVE:HARD_RECOVERY
56	ARRIVE:PEERLIST
57	LEAVE:HARD_RECOVERY
59	ARRIVE:PEERLIST
61	LEAVE:HARD_RECOVERY
78	ARRIVE:PEERLIST
80	LEAVE:HARD_RECOVERY
87	ARRIVE:PEERLIST
88	LEAVE:HARD_RECOVERY
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 22:44:34.360712
## STAGE: [70, 70, 70]
** LOG START raichu.freedm:30000 2 2015-Jan-15 22:44:56.610814
4	ARRIVE:PEERLIST
10	LEAVE:HARD_RECOVERY
14	ARRIVE:PEERLIST
20	LEAVE:HARD_RECOVERY
27	ARRIVE:PEERLIST
28	LEAVE:HARD_RECOVERY
34	ARRIVE:PEERLIST
36	LEAVE:HARD_RECOVERY
41	ARRIVE:PEERLIST
43	LEAVE:HARD_RECOVERY
48	ARRIVE:PEERLIST
49	LEAVE:HARD_RECOVERY
49	ARRIVE:PEERLIST
51	LEAVE:HARD_RECOVERY
55	ARRIVE:PEERLIST
56	LEAVE:HARD_RECOVERY
58	ARRIVE:PEERLIST
61	LEAVE:HARD_RECOVERY
67	ARRIVE:PEERLIST
68	LEAVE:HARD_RECOVERY
78	ARRIVE:PEERLIST
79	LEAVE:HARD_RECOVERY
93	ARRIVE:PEERLIST
95	LEAVE:HARD_RECOVERY
99	ARRIVE:PEERLIST
100	LEAVE:HARD_RECOVERY
118	ARRIVE:PEERLIST
119	LEAVE:HARD_RECOVERY
121	ARRIVE:PEERLIST
122	LEAVE:HARD_RECOVERY
** LOG STOP raichu.freedm:30000 124 2015-Jan-15 23:14:46.937962
## STAGE: [75, 75, 75]
** LOG START raichu.freedm:30000 2 2015-Jan-15 23:15:07.010317
3	ARRIVE:PEERLIST
5	LEAVE:HARD_RECOVERY
11	ARRIVE:PEERLIST
13	LEAVE:HARD_RECOVERY
27	ARRIVE:PEERLIST
28	LEAVE:HARD_RECOVERY
35	ARRIVE:PEERLIST
36	LEAVE:HARD_RECOVERY
40	ARRIVE:PEERLIST
41	LEAVE:HARD_RECOVERY
41	ARRIVE:PEERLIST
43	LEAVE:HARD_RECOVERY
56	ARRIVE:PEERLIST
58	LEAVE:HARD_RECOVERY
61	ARRIVE:PEERLIST
62	LEAVE:HARD_RECOVERY
64	ARRIVE:PEERLIST
66	LEAVE:HARD_RECOVERY
82	ARRIVE:PEERLIST
83	LEAVE:HARD_RECOVERY
86	ARRIVE:PEERLIST
88	LEAVE:HARD_RECOVERY
88	ARRIVE:PEERLIST
91	LEAVE:HARD_RECOVERY
117	ARRIVE:PEERLIST
119	LEAVE:HARD_RECOVERY
