** LOG START manectric.freedm:30000 3 2014-Dec-27 18:00:14.603257
3	ELECTION		1
3	REORGANIZATION	manectric.freedm:30000	1
3	NORMAL	manectric.freedm:30000	1
** LOG STOP manectric.freedm:30000 247 2014-Dec-27 18:59:48.942357
## STAGE: [5]
** LOG START manectric.freedm:30000 2 2014-Dec-27 19:00:06.201411
2	ELECTION		1
2	REORGANIZATION	manectric.freedm:30000	1
2	NORMAL	manectric.freedm:30000	1
195	ELECTION	manectric.freedm:30000	1
195	REORGANIZATION	manectric.freedm:30000	1
195	NORMAL	manectric.freedm:30000	1
206	ELECTION	manectric.freedm:30000	1
206	REORGANIZATION	manectric.freedm:30000	1
206	NORMAL	manectric.freedm:30000	1
243	ELECTION	manectric.freedm:30000	1
243	REORGANIZATION	manectric.freedm:30000	1
243	NORMAL	manectric.freedm:30000	1
** LOG STOP manectric.freedm:30000 248 2014-Dec-27 20:00:01.045792
## STAGE: [10]
** LOG START manectric.freedm:30000 2 2014-Dec-27 20:00:27.001054
2	ELECTION		1
2	REORGANIZATION	manectric.freedm:30000	1
2	NORMAL	manectric.freedm:30000	1
54	ELECTION	manectric.freedm:30000	1
54	REORGANIZATION	manectric.freedm:30000	1
54	NORMAL	manectric.freedm:30000	1
211	ELECTION	manectric.freedm:30000	1
211	REORGANIZATION	manectric.freedm:30000	1
211	NORMAL	manectric.freedm:30000	1
** LOG STOP manectric.freedm:30000 247 2014-Dec-27 21:00:13.027108
## STAGE: [15]
** LOG START manectric.freedm:30000 2 2014-Dec-27 21:00:33.201382
2	ELECTION		1
2	REORGANIZATION	manectric.freedm:30000	1
2	NORMAL	manectric.freedm:30000	1
43	ELECTION	manectric.freedm:30000	1
43	REORGANIZATION	manectric.freedm:30000	1
43	NORMAL	manectric.freedm:30000	1
73	ELECTION	manectric.freedm:30000	1
73	REORGANIZATION	manectric.freedm:30000	1
73	NORMAL	manectric.freedm:30000	1
108	ELECTION	manectric.freedm:30000	1
108	REORGANIZATION	manectric.freedm:30000	1
108	NORMAL	manectric.freedm:30000	1
114	ELECTION	manectric.freedm:30000	1
114	REORGANIZATION	manectric.freedm:30000	1
114	NORMAL	manectric.freedm:30000	1
