** LOG START zapdos.freedm:30000 2 2015-Mar-05 13:42:36.001875
** LOG STOP zapdos.freedm:30000 247 2015-Mar-05 14:42:22.546623
## STAGE: [5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
** LOG START zapdos.freedm:30000 2 2015-Mar-05 14:42:42.201401
** LOG STOP zapdos.freedm:30000 249 2015-Mar-05 15:42:34.575402
## STAGE: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
** LOG START zapdos.freedm:30000 1 2015-Mar-05 15:42:48.832230
** LOG STOP zapdos.freedm:30000 247 2015-Mar-05 16:42:46.524394
## STAGE: [15, 15, 15, 15, 15, 15, 15, 15, 15, 15]
** LOG START zapdos.freedm:30000 2 2015-Mar-05 16:43:09.200945
** LOG STOP zapdos.freedm:30000 248 2015-Mar-05 17:42:58.548002
## STAGE: [20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
** LOG START zapdos.freedm:30000 2 2015-Mar-05 17:43:15.401489
** LOG STOP zapdos.freedm:30000 248 2015-Mar-05 18:43:10.529469
## STAGE: [25, 25, 25, 25, 25, 25, 25, 25, 25, 25]
** LOG START zapdos.freedm:30000 2 2015-Mar-05 18:43:33.401191
** LOG STOP zapdos.freedm:30000 247 2015-Mar-05 19:43:22.488324
## STAGE: [30, 30, 30, 30, 30, 30, 30, 30, 30, 30]
** LOG START zapdos.freedm:30000 2 2015-Mar-05 19:43:39.601219
** LOG STOP zapdos.freedm:30000 248 2015-Mar-05 20:43:34.397305
## STAGE: [35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
** LOG START zapdos.freedm:30000 2 2015-Mar-05 20:44:00.401459
** LOG STOP zapdos.freedm:30000 247 2015-Mar-05 21:43:46.333167
## STAGE: [40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
** LOG START zapdos.freedm:30000 2 2015-Mar-05 21:44:06.600828
** LOG STOP zapdos.freedm:30000 249 2015-Mar-05 22:43:58.553876
## STAGE: [45, 45, 45, 45, 45, 45, 45, 45, 45, 45]
** LOG START zapdos.freedm:30000 1 2015-Mar-05 22:44:12.856132
** LOG STOP zapdos.freedm:30000 247 2015-Mar-05 23:44:10.548415
## STAGE: [50, 50, 50, 50, 50, 50, 50, 50, 50, 50]
** LOG START zapdos.freedm:30000 2 2015-Mar-05 23:44:33.601345
34	ARRIVE:PEERLIST
35	LEAVE:HARD_RECOVERY
** LOG STOP zapdos.freedm:30000 247 2015-Mar-06 00:44:22.572327
## STAGE: [55, 55, 55, 55, 55, 55, 55, 55, 55, 55]
** LOG START zapdos.freedm:30000 2 2015-Mar-06 00:44:39.801754
** LOG STOP zapdos.freedm:30000 248 2015-Mar-06 01:44:34.493816
## STAGE: [60, 60, 60, 60, 60, 60, 60, 60, 60, 60]
** LOG START zapdos.freedm:30000 2 2015-Mar-06 01:45:00.601117
71	ARRIVE:PEERLIST
72	LEAVE:HARD_RECOVERY
88	ARRIVE:PEERLIST
90	LEAVE:HARD_RECOVERY
203	ARRIVE:PEERLIST
205	LEAVE:HARD_RECOVERY
** LOG STOP zapdos.freedm:30000 247 2015-Mar-06 02:44:46.566944
## STAGE: [65, 65, 65, 65, 65, 65, 65, 65, 65, 65]
** LOG START zapdos.freedm:30000 2 2015-Mar-06 02:45:06.801454
75	ARRIVE:PEERLIST
78	LEAVE:HARD_RECOVERY
95	ARRIVE:PEERLIST
96	LEAVE:HARD_RECOVERY
113	ARRIVE:PEERLIST
114	LEAVE:HARD_RECOVERY
** LOG STOP zapdos.freedm:30000 248 2015-Mar-06 03:44:58.650463
## STAGE: [70, 70, 70, 70, 70, 70, 70, 70, 70, 70]
** LOG START zapdos.freedm:30000 2 2015-Mar-06 03:45:13.000826
180	ARRIVE:PEERLIST
182	LEAVE:HARD_RECOVERY
213	ARRIVE:PEERLIST
215	LEAVE:HARD_RECOVERY
** LOG STOP zapdos.freedm:30000 248 2015-Mar-06 04:45:10.377222
## STAGE: [75, 75, 75, 75, 75, 75, 75, 75, 75, 75]
** LOG START zapdos.freedm:30000 2 2015-Mar-06 04:45:33.801673
35	ARRIVE:PEERLIST
37	LEAVE:HARD_RECOVERY
88	ARRIVE:PEERLIST
90	LEAVE:HARD_RECOVERY
102	ARRIVE:PEERLIST
103	LEAVE:HARD_RECOVERY
109	ARRIVE:PEERLIST
110	LEAVE:HARD_RECOVERY
114	ARRIVE:PEERLIST
116	LEAVE:HARD_RECOVERY
130	ARRIVE:PEERLIST
132	LEAVE:HARD_RECOVERY
145	ARRIVE:PEERLIST
146	LEAVE:HARD_RECOVERY
241	ARRIVE:PEERLIST
242	LEAVE:HARD_RECOVERY
