#    Predicted   Actual
0   566.61076625418  571.451714368   562.511939  567.456314  571.7382085 575.714029  580.411815
5   548.486125723737 478.879551895   344.238398  437.9141565 493.9631915 530.124441  570.552848
10  487.01219106155  438.020037474   140.169318  402.9809435 474.4210795 493.956702  558.271607
15  431.799459385649 467.704602789   328.479919  413.8005595 480.422535  529.824935  555.121297
20  386.864457257535 424.953337579   326.948022  380.126771  432.066861  453.518181  521.967181
25  378.018484522471 381.611522158   232.634886  357.4347935 393.2072245 422.7118    455.68584
30  383.316094115844 423.514057316   304.616756  393.049405  417.914069  466.443502  534.213132
35  379.77618594266  430.969797421   317.548671  415.2325315 429.5371495 460.736055  534.695788
40  386.322046616647 464.529335263   388.552662  426.5888515 466.319367  498.348515  547.574441
45  394.66326964132  462.105483158   350.511699  445.4073965 469.0035745 501.026278  544.976058
50  398.631085914923 488.985501105   437.786942  470.581596  485.0459645 509.500334  542.274561
55  409.708459593662 505.840299474   435.976924  487.766411  511.9061295 531.762075  539.105527
60  419.944711262362 495.816566316   429.472742  483.9407685 503.401144  522.353397  531.084778
65  425.490682900274 523.240611263   483.6981    509.9893705 524.225192  541.63417   568.688016
70  443.149651549428 521.590334474   483.704144  504.9219885 524.1463025 542.762689  566.088116
75  448.565072442231 532.980465368   476.652973  522.3499095 541.9186745 556.772978  565.922302
80  464.557271773025 528.740895474   499.36996   506.19479   532.2047375 544.864604  566.16417
85  478.782683358788 548.044956947   516.765804  541.0043015 551.49864   558.332727  572.844192
90  506.560601444984 547.107288947   502.946091  543.2504095 550.8259295 566.125436  574.378428
95  527.321420179917 564.030766947   537.568302  560.787914  566.539688  573.691412  577.257284
100 566.380774302896 571.473622526   562.515664  567.646839  571.901201  575.920375  580.687493
