# mbr-ldr-failure
5	166	39.5611913735	19.9074078704	30.320844	33.16112	46.547908	35.5534432619
10	167	67.4766176287	60.348135817	30.622205	43.1831565	79.8917315	47.5749782381
15	142	88.1472526479	89.3081862455	30.427054	32.159249	122.962686	54.4619049306
20	108	132.286386583	109.448492709	31.443712	108.141878	192.2212805	110.80968
25	108	130.417937037	123.216147524	30.2238685	94.146179	224.624389	96.3616665556
30	110	110.4161345	120.0568176	30.13675	30.527421	165.234779	65.9355546786
35	107	110.596837065	127.336962179	30.021041	30.3177535	160.437899	60.3965351852
40	88	121.829590886	142.475552168	30.0222035	30.224307	205.341282	69.7897472273
45	84	147.935563524	168.997465435	30.032608	30.41958	295.5419905	81.2546514762
50	60	169.160114183	160.375895432	30.0248845	60.791157	304.95183	139.2800487
55	71	141.17482831	157.901387217	30.031947	30.223255	305.1529365	89.8785571667
60	49	171.540183551	173.023458354	30.0251415	60.286727	375.683114	141.84441076
65	61	139.670455525	189.001758145	20.0045285	30.026864	395.319658	54.2941946774
70	45	102.214900933	162.768087268	20.004634	30.025664	60.301561	33.5654845652
75	29	41.1218578276	20.8405194043	30.019729	30.0227525	60.190484	36.0497762667
80	38	29.2549893947	12.9079702589	20.003449	30.024349	30.045988	26.02385485
85	53	47.4453040566	22.3832958637	30.0356425	40.0983235	60.160547	45.2568482963
90	34	87.5062770588	43.9606907657	60.10476	60.10808	150.269033	80.1462553333
95	12	170.255289333	30.8726837142	180.1983895	180.20095	180.2990875	180.2476415


