#    Predicted   Actual
0   566.299461236545  
5   486.209918232466 
10  389.243876872505 
15  366.373058363947 
20  369.484499995227 
25  381.643869660997 
30  381.960521162439 
35  387.48346115542  
40  395.630378528542 
45  400.689555996894 
50  403.792643302391 
55  410.94759932783  
60  417.839150074051 
65  423.06181255255  
70  434.845271520892 
75  439.340593949743 
80  448.611003077812 
85  475.160246810556 
90  501.316546525939 
95  535.27264601113  
100 565.761898827147 
